gender,backlogs,sleep,concentration,age,academic_level,currently_satisfied,absent_days,time,info_delivery,learning_strategy,mental_activities,raise_hands,study_time,grades
Female,None,Less than 7hr,15min - 30min,20-25,UNDER GRADUATE,Neutral,Less than 10,pomodoro,Read/Write,feyman,"Exploring creative endeavors like writing, drawing, or composing.",3,Less than 1 hour,70-90%
Female,None,7hr,15min - 30min,20-25,UNDER GRADUATE,Neutral,Less than 10,pomodoro,Visual (Pictures / Diagrams),flowtime,Immersing myself in deep and thought-provoking discussions.,1,Less than 1 hour,70-90%
Female,None,More than 7hr,15min - 30min,20-25,UNDER GRADUATE,Slightly,Less than 30,pomodoro,Auditory,flowtime,"Exploring creative endeavors like writing, drawing, or composing.",1,Less than 1 hour,Greater than 90%
Female,None,Less than 7hr,15min - 30min,15-20,UNDER GRADUATE,Slightly,Less than 30,time_blocking,Read/Write,feyman,Solving puzzles and brainteasers.,1,Less than 1 hour,50-70%
Male,None,Less than 7hr,Less than 15min,20-25,UNDER GRADUATE,vey much,Less than 30,time_blocking,Visual (Pictures / Diagrams),feyman,Engaging in critical thinking and problem-solving.,4,Less than 1 hour,70-90%
Female,None,Less than 7hr,15min - 30min,20-25,UNDER GRADUATE,Neutral,Less than 10,time_blocking,All of the above. It depends on the subject/course I'm learning,flowtime,Mastering new skills through interactive and immersive methods.,2,Less than 1 hour,70-90%
Female,None,7hr,30min - 45min,15-20,UNDER GRADUATE,Neutral,Less than 10,pomodoro,Read/Write,smart_goals,Participating in debates and discussions that challenge my perspective.,2,Less than 1 hour,70-90%
Male,None,More than 7hr,Less than 15min,15-20,UNDER GRADUATE,Extremly,Less than 10,time_blocking,A mixture of all,feyman,Tackling complex challenges that require strategic thinking.,0,Less than 1 hour,Greater than 90%
Male,None,Less than 7hr,15min - 30min,15-20,UNDER GRADUATE,Neutral,Less than 10,pomodoro,Read/Write,flowtime,Reflecting on complex ideas and connecting them to real-world scenarios.,4,Less than 1 hour,70-90%
Female,None,Less than 7hr,15min - 30min,15-20,UNDER GRADUATE,Not at all,Less than 10,pomodoro,Visual (Pictures / Diagrams),flowtime,Absorbing information through visual aids and diagrams.,0,Less than 1 hour,70-90%
Female,None,Less than 7hr,30min - 45min,20-25,UNDER GRADUATE,Not at all,Less than 10,pomodoro,Read/Write,flowtime,Participating in debates and discussions that challenge my perspective.,0,Less than 1 hour,50-70%
Female,None,7hr,15min - 30min,20-25,UNDER GRADUATE,Slightly,Less than 10,pomodoro,Visual (Pictures / Diagrams),eisenhower,Reflecting on complex ideas and connecting them to real-world scenarios.,0,Less than 1 hour,70-90%
Female,None,7hr,Less than 15min,20-25,UNDER GRADUATE,Neutral,Less than 10,pomodoro,Read/Write,feyman,Solving puzzles and brainteasers.,1,Less than 1 hour,70-90%
Male,None,Less than 7hr,30min - 45min,20-25,UNDER GRADUATE,vey much,Less than 30,pomodoro,Read/Write,feyman,Engaging in critical thinking and problem-solving.,2,Less than 1 hour,70-90%
Male,None,Less than 7hr,15min - 30min,20-25,UNDER GRADUATE,Slightly,Less than 30,time_blocking,Read/Write,feyman,Engaging in critical thinking and problem-solving.,2,Less than 1 hour,70-90%
Female,Less than 5,More than 7hr,Less than 15min,20-25,UNDER GRADUATE,Neutral,Less than 10,time_blocking,Read/Write,feyman,Absorbing information through visual aids and diagrams.,2,Less than 1 hour,50-70%
